location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR
ngc104_ejected,4.1,0.040374139,0.463288257,13.909672,21.187274,5.04325671
ngc104_ejected,4.1,0.067397986,0.718714426,16.195164,17.460749,4.82440905
ngc6266_ejected,6.6,0.040374139,0.463288257,13.909672,21.187274,3.132932198
ngc6266_ejected,6.6,0.067397986,0.718714426,16.195164,17.460749,2.99698138
ngc2808_ejected,8.9,0.040374139,0.463288257,13.909672,21.187274,2.323298035
ngc6441_ejected,9.2,0.040374139,0.463288257,13.909672,21.187274,2.247538316
ngc2808_ejected,8.9,0.067397986,0.718714426,16.195164,17.460749,2.222480574
ngc6441_ejected,9.2,0.067397986,0.718714426,16.195164,17.460749,2.150008381
ngc7078_ejected,10.0,0.040374139,0.463288257,13.909672,21.187274,2.067735251
ngc7078_ejected,10.0,0.067397986,0.718714426,16.195164,17.460749,1.978007711
ngc6388_ejected,10.9,0.040374139,0.463288257,13.909672,21.187274,1.897004817
ngc6388_ejected,10.9,0.067397986,0.718714426,16.195164,17.460749,1.814685973
ngc6544_ejected,2.4,0.082850605,0.057103872,81.092676,32.637404,1.692321212
ngc6656_ejected,3.1,0.048559307,0.090972292,17.230607,29.724057,1.14751405
ngc6254_ejected,4.1,0.047336976,0.329919514,15.196833,17.020792,0.9729984
ngc6715_ejected,25.4,0.040374139,0.463288257,13.909672,21.187274,0.814068996
ngc104_ejected,4.1,0.048202198,0.24988947,17.51164,17.56878,0.782117364
ngc6715_ejected,25.4,0.067397986,0.718714426,16.195164,17.460749,0.778743193
ngc6218_ejected,5.4,0.047336976,0.329919514,15.196833,17.020792,0.738758045
ngc3201_ejected,4.9,0.049061128,0.36058565,14.226487,16.287843,0.695456872
ngc6254_ejected,4.1,0.064724675,0.557129368,13.389996,12.91133,0.589972548
ngc6760_ejected,6.9,0.047336976,0.329919514,15.196833,17.020792,0.57815847
ngc5927_ejected,7.0,0.047336976,0.329919514,15.196833,17.020792,0.569899063
ngc6205_ejected,6.8,0.048559307,0.090972292,17.230607,29.724057,0.523131405
ngc104_ejected,4.1,0.077080316,0.534977211,15.315395,18.296005,0.492609295
ngc6266_ejected,6.6,0.048202198,0.24988947,17.51164,17.56878,0.485860787
ngc6218_ejected,5.4,0.064724675,0.557129368,13.389996,12.91133,0.44794212
ngc5139_ejected,4.9,0.13233772,0.724543911,19.475635,19.555718,0.415983932
Djor1_ejected,8.8,0.144631625,0.831668655,14.07758,15.367876,0.375979184
ngc6626_ejected,5.5,0.060670873,0.306270388,25.785522,13.783059,0.372024843
ngc5272_ejected,9.7,0.048559307,0.090972292,17.230607,29.724057,0.366731294
ngc2808_ejected,8.9,0.048202198,0.24988947,17.51164,17.56878,0.360301257
ngc5986_ejected,10.0,0.048559307,0.090972292,17.230607,29.724057,0.355729355
ngc7099_ejected,7.7,0.058597254,0.024675615,23.615226,37.242641,0.354984707
ngc6760_ejected,6.9,0.064724675,0.557129368,13.389996,12.91133,0.350563398
ngc6441_ejected,9.2,0.048202198,0.24988947,17.51164,17.56878,0.348552303
ngc6544_ejected,2.4,0.0766078,0.475841086,15.579115,13.321854,0.346310833
ngc5927_ejected,7.0,0.064724675,0.557129368,13.389996,12.91133,0.34555535
ngc7078_ejected,10.0,0.048202198,0.24988947,17.51164,17.56878,0.320668119
ngc7089_ejected,11.1,0.048559307,0.090972292,17.230607,29.724057,0.320476897
ngc6121_ejected,2.1,0.083296319,0.530677023,12.914582,13.550984,0.312753796
ngc6121_ejected,2.1,0.175188775,0.831704307,11.710313,10.98934,0.311672599
ngc6266_ejected,6.6,0.077080316,0.534977211,15.315395,18.296005,0.306014865
ngc6553_ejected,4.1,0.062900225,0.50293296,9.5909463,13.905829,0.299701636
ngc6293_ejected,8.6,0.043613622,0.19090531,17.487583,13.585709,0.295630461
ngc6656_ejected,3.1,0.086816256,0.558551216,14.917099,14.064978,0.294430809
ngc6388_ejected,10.9,0.048202198,0.24988947,17.51164,17.56878,0.294190935
ngc6541_ejected,7.2,0.060670873,0.306270388,25.785522,13.783059,0.284185644
ngc6934_ejected,14.4,0.047336976,0.329919514,15.196833,17.020792,0.277034267
ngc6440_ejected,7.5,0.060670873,0.306270388,25.785522,13.783059,0.272818218
ngc6584_ejected,12.5,0.049061128,0.36058565,14.226487,16.287843,0.272619094
Djor2_ejected,13.2,0.048559307,0.090972292,17.230607,29.724057,0.269491936
ngc6553_ejected,4.1,0.149832414,0.871594323,7.7348948,7.7732874,0.248012953
terzan2_ejected,8.9,0.042837618,0.509569192,8.0755331,8.0483769,0.243594354
ngc104_ejected,4.1,0.196629208,0.793668126,18.60969,19.728788,0.235774088
ngc2808_ejected,8.9,0.077080316,0.534977211,15.315395,18.296005,0.226932372
ngc6139_ejected,9.1,0.060670873,0.306270388,25.785522,13.783059,0.22485018
ngc6441_ejected,9.2,0.077080316,0.534977211,15.315395,18.296005,0.219532403
ngc6626_ejected,5.5,0.079952489,0.620075632,11.549954,11.999154,0.215921266
ngc6981_ejected,16.2,0.049061128,0.36058565,14.226487,16.287843,0.210354239
ngc6517_ejected,10.1,0.060670873,0.306270388,25.785522,13.783059,0.202587786
ngc7078_ejected,10.0,0.077080316,0.534977211,15.315395,18.296005,0.201969811
pal_6_ejected,6.2,0.062900225,0.50293296,9.5909463,13.905829,0.198189792
ngc6316_ejected,10.9,0.060670873,0.306270388,25.785522,13.783059,0.187718957
ngc6388_ejected,10.9,0.077080316,0.534977211,15.315395,18.296005,0.185293405
ngc4372_ejected,4.6,0.183939756,0.779521325,16.558611,19.529088,0.18179326
ngc5904_ejected,7.0,0.078266137,0.59346992,12.258291,12.790494,0.176673535
ngc6752_ejected,3.8,0.083296319,0.530677023,12.914582,13.550984,0.172837624
ngc6752_ejected,3.8,0.175188775,0.831704307,11.710313,10.98934,0.17224012
ngc6934_ejected,14.4,0.064724675,0.557129368,13.389996,12.91133,0.167978295
ngc6541_ejected,7.2,0.079952489,0.620075632,11.549954,11.999154,0.164939856
pal_6_ejected,6.2,0.149832414,0.871594323,7.7348948,7.7732874,0.164008565
ngc1851_ejected,11.7,0.048139984,0.258462877,16.582551,12.788819,0.161935027
ngc6440_ejected,7.5,0.079952489,0.620075632,11.549954,11.999154,0.158342262
ngc1851_ejected,11.7,0.109097473,0.792099273,13.066553,8.1671502,0.155406247
ngc362_ejected,8.0,0.078266137,0.59346992,12.258291,12.790494,0.154589343
ngc6341_ejected,8.0,0.078266137,0.59346992,12.258291,12.790494,0.154589343
ngc4833_ejected,5.7,0.183939756,0.779521325,16.558611,19.529088,0.14671035
