Incluster Binary,N=4205,Ejected,N=6088,Non-KL Triple,N=552.46,KL Triple,N=307.83,Single Capture,N=345,Fewbody Capture,N=1585
log(e),CDF,log(e),CDF,log(e),CDF,log(e),CDF,log(e),CDF,log(e),CDF
-10,0,-8.616780045,0,-7.596371882,0,-4.965986395,0,-3.310657596,0,-3.06122449,0
-8.43537415,0.007481296758104605,-7.233560091,0.009975062344139474,-7.188208617,0.027431421446383997,-4.353741497,0.004987531172069737,-3.06122449,0.07730673316708214,-2.857142857,0.024937655860348906
-6.530612245,0.04239401496259343,-6.825396825,0.049875311720698035,-6.93877551,0.0448877805486283,-4.081632653,0.027431421446383997,-2.811791383,0.19950124688279292,-2.448979592,0.10224438902743127
-5.736961451,0.06982543640897743,-6.507936508,0.15710723192019937,-6.64399093,0.0623441396508726,-3.80952381,0.09226932668329157,-2.562358277,0.3640897755610971,-1.836734694,0.309226932668329
-5.464852608,0.0897755610972567,-6.281179138,0.27930174563591004,-6.326530612,0.09476309226932655,-3.560090703,0.1745635910224438,-2.31292517,0.5286783042394014,-1.451247166,0.4962593516209476
-5.351473923,0.11720698254364081,-6.077097506,0.4014962593516208,-6.145124717,0.1271820448877804,-3.310657596,0.26932668329177045,-2.040816327,0.6583541147132169,-1.020408163,0.6708229426433914
-5.215419501,0.1446384039900248,-5.963718821,0.4688279301745635,-5.941043084,0.1745635910224438,-3.129251701,0.34413965087281784,-1.79138322,0.7506234413965087,-0.634920635,0.7930174563591021
-5.102040816,0.18453865336658337,-5.759637188,0.5885286783042394,-5.736961451,0.2369077306733166,-2.947845805,0.40648379052369066,-1.541950113,0.827930174563591,-0.22675737,0.9226932668329177
-4.988662132,0.23940149625935148,-5.532879819,0.683291770573566,-5.532879819,0.2917705735660846,-2.698412698,0.49875311720698245,-1.292517007,0.8902743142144638,-0.022675737,1
-4.85260771,0.29675810473815456,-5.238095238,0.7930174563591021,-5.419501134,0.3366583541147131,-2.358276644,0.6284289276807979,-1.0430839,0.9301745635910225,,
-4.739229025,0.35910224438902727,-4.920634921,0.8753117206982544,-5.215419501,0.4214463840399001,-2.0861678,0.7182044887780548,-0.770975057,0.9576059850374065,,
-4.62585034,0.42394014962593507,-4.580498866,0.9301745635910225,-4.943310658,0.5087281795511222,-1.746031746,0.8254364089775561,-0.453514739,0.9800498753117207,,
-4.489795918,0.4937655860349127,-4.240362812,0.9650872817955112,-4.693877551,0.5660847880299251,-1.496598639,0.9052369077306733,-0.272108844,0.9900249376558603,,
-4.376417234,0.5635910224438901,-3.968253968,0.9850374064837906,-4.421768707,0.6134663341645885,-1.201814059,0.9526184538653366,-0.022675737,1,,
-4.263038549,0.6284289276807979,-3.718820862,0.9950124688279302,-4.149659864,0.6658354114713216,-0.884353741,0.9825436408977556,,,,
-4.126984127,0.6982543640897756,-3.242630385,1,-3.854875283,0.7231920199501247,-0.544217687,0.9950124688279302,,,,
-3.87755102,0.7830423940149626,,,-3.537414966,0.7755610972568578,-0.068027211,1,,,,
-3.650793651,0.8603491271820449,,,-3.333333333,0.8229426433915212,,,,,,
-3.35600907,0.9177057356608479,,,-3.06122449,0.8753117206982544,,,,,,
-3.015873016,0.9675810473815462,,,-2.811791383,0.9376558603491272,,,,,,
-2.743764172,0.9925187032418953,,,-2.698412698,0.9625935162094763,,,,,,
-2.267573696,1,,,-2.53968254,0.9800498753117207,,,,,,
,,,,-2.380952381,0.9950124688279302,,,,,,
,,,,-2.222222222,1,,,,,,
